nomProduit;prixKgOuPiece;famille;origine;description;url
Fraise;4.00;Fruit rouge;Espagne;"Où est produite la gariguette? Un livraison de fraise à domicile pour accompagner votre panier. 

La fraise gariguette se caractérise par sa forme allongée, rouge et brillante, à la saveur et au parfum incontournable. C’est la première fraise de la saison, présente sur les étalages dès le mois d’avril jusqu’au mois de juin.

Son nom vient de l’adresse d’un chercheur qui habitait au chemin des Gariguettes, à Châteauneuf-de-Gadagne, dans le Vaucluse. De nos jours, l’essentiel de la production se localise dans le Lot et Garonne.

Néanmoins, un français installé au Portugal a lancé depuis 2020 sa production avec les méthodes françaises afin de donner une fraise d’exception.

Bienfaits:

La fraise est riche en vitamine C qui permet de lutter contre la fatigue, de stimuler le système immunitaire et de lutter contre diverses infections et coups de froid hivernaux.

La fraise constitue un apport en fibres important, notamment grâce à ses petites graines jaunes, appelées « akènes », prévenant d’éventuels problèmes gastriques.

Les fraises sont riches en eau, peu chargées en sucres et pauvres en calories. Elles sont donc un aliment de choix en période de perte de poids. C’est aussi un fruit très apprécié des enfants.

Conservation et dégustation:

L’idéal est de consommer vos fraises gariguettes dans les 48 heures. Nous vous recommandons de les conserver entières, au frais, sans les équeuter. Surtout, placez les à température ambiante 20 minutes avant de les déguster.

Nos fraises gariguettes peuvent se conserver 72 heures au réfrigérateur dans une barquette perforée, dans le bac à légumes. Alors n’hésitez plus avec la livraison de fraise à domicile en Ile de France";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Fraise-1-scaled94e3_sq7idi.jpg
Framboise;1.5;Fruit rouge;Portugal;"Sauvages ou cultivées, la framboise en livraison est un fruit rouge que l’on apprécie énormément en France. C’est le fruit du framboisier, arbre de la famille des rosacées. La saison de la framboise française s’étend du mois de juin au mois de septembre permettant l’obtention d’un fruit sucré et acidulé.

Bienfaits: 

C’est l’un des fruits les plus riches en fer, dont l’assimilation est boostée par la présence de vitamine C, ça tombe bien elle en contient aussi. Une livraison de fruits en entreprise c’est une bonne solution.
La framboise est efficace contre les rhumatismes, grâce à la présence d’acide salicylique, aux effets anti-inflammatoires.
Pour la perte de poids, les diététiciens recommandent d’en consommer une poignée par jour car sa forte teneur en pectine permet de stimuler les graisses et favoriser la perte de poids.
Sa teneur en antioxydants contribue à prévenir des maladies cardiovasculaires, les cancers et diverses maladies chroniques.
 

Conservation et dégustation:

Fruit fragile, la framboise en livraison se conserve deux ou trois jours au réfrigérateur. Pour prolonger la conservation, mettez les framboises dans un contenant tapissé d’un papier essuie-tout pour absorber l’humidité. La solution pour une conservation longue durée c’est de les placer au congélateur. Ainsi, vos framboises peuvent se conserver plus de 2 mois.
En charlotte ou dans une panacotta, la framboise peut donc se déguster sous plusieurs déclinaison.  Dans de nombreuses recettes , c’est le fruit star de la pâtisserie.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/FRAMBOISE94e3_su1opr.jpg
Fruit passion;3.5;Fruit;Vietnam;"Laissez vous tenter par la livraison de fruits de la passion. 

Originaire du Brésil, le fruit de la passion est découvert à la fin du XVIe siècle par des espagnols. En 1629, le fruit arrive pour la première fois en Europe. Il tire son nom des divers éléments de sa fleur allusifs aux instruments de la Passion du Christ.

Le fruit de la passion se déguste tout au long de l’année.

Vertus

Antioxydant, le fruit de la passion lutte contre les radicaux libres. Le fruit de la passion est riche en vitamine C. Deux fruits fournissent 30 à 35 % des apports journaliers recommandés. Il est également source de provitamine A et de flavonoïdes.
Consommé chaque jour, il permet de combler 10 % des besoins quotidiens en phosphore, utile aux os et aux dents.
Un fruit de la passion permet de couvrir plus de 10 % des apports journaliers recommandés en fer, minéral indispensable pour lutter contre la fatigue et l’anémie.
Le fruit de la passion est l’un des fruits qui contient le plus de fibres. Il favorise un bon transit et permet d’éliminer les toxines des intestins limitant ainsi le risque de cancer du côlon.
Conservation et dégustation

Mettez le au réfrigérateur dans le bac à légumes (il doit toutefois être bien mûr). Si vous souhaitez le congeler, assurez vous que votre fruit de la passion soit suffisamment mûr pour obtenir un maximum de saveurs pour sa future utilisation.
La chair se mange avec ses graines, seule, pour parfumer yaourts et desserts mais aussi en accompagnement de viandes blanches ou de poissons. Cette baie sera délicieuse mixée en jus, en purée, en coulis. *
Acidulé, acheter une livraison de fruits de la passion donnera du peps à vos salades de fruits, et vous pourrez l’associer à d’autres fruits.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685189796/AR00226_ac1f1t.jpg
Golden;1.6;Fruit;France;"Envie d’une tarte aux pommes ? C’est désormais possible avec la livraison de pommes golden.

La pomme golden est une pomme incontournable, ancêtre d’un nombre important de variétés.

C’est la variété de pomme la plus consommée en France, et représente à elle seule 30% de la production nationale.

Les pommes golden du Limousin disposent d’une AOP (appellation d’origine contrôlée). Tandis que les pommes golden de Savoie d’une IGP (indication géographique protégée).

Vertus

Constituée environ de 85 % de son poids en eau, la pomme est peu calorique (une pomme de 150 g apporte 60 et 75 calories), d’une composition équilibrée et variée en fibres.
Elle comporte beaucoup de vitamines (A, E, B6…), mais en particulier de la vitamine C, qui donne à l’épiderme souplesse et fermeté, booste le système immunitaire, permet une circulation sanguine plus fluide, et solidifie les cellules osseuses.
La pomme contient également de précieux oligo-éléments comme le phosphore, le potassium, le sélénium, le zinc, le cuivre, le calcium, le magnésium ou encore le fer.
Sans oublier que croquer une pomme nettoie l’émail des dents selon certaines études.
Conservation et dégustation

Elle se consomme essentiellement de septembre à mai.
Légèrement sucrée, croquante, juteuse et parfumée, vous pouvez la consommer crue ou la cuisiner, elle sera parfaite pour préparer de délicieuses tartes aux pommes.
La pomme golden se conserve au réfrigérateur plusieurs semaines ou dans une corbeille à fruits plusieurs jours.
C’est parti pour une livraison de pommes GOLDEN à domicile ou au bureau.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Feuille-de-chene-194e3_uwlpzt.png
Grenade;1.6;Fruit;Espagne;"Vous vous demandez comment manger la grenade? 

La grenade est un fruit dont la taille se rapproche d’un pomelo de couleur rouge orangé. Issue de Perse la grenade a été importé ensuite vers les pays occidentaux et les pays du pourtour méditerranéen. La pleine saison pour déguster de la grenade en France se situe du début de l’automne à la fin de l’hiver.

Vertus

La grenade est l’un des fruits ayant le plus d’effets antioxydants permettant de diminuer le taux de cholestérol dans le sang mais aussi de prévenir les maladies cardiovasculaires.
Elle est source de vitamines C, B6, B5 et de cuivre.
La grenade est aussi un puissant anti-inflammatoire, et permet de booster les performances sportives.
Consommation et dégustation

La grenade peut rester trois à quatre mois dans une corbeille de fruits placées dans un lieu à température ambiante.
Pour sa dégustation, couper-la en deux et consommer les graines rosées avec une cuillère.
La grenade peut se consommer crue en fruit, ou pressée en jus, alcool ou sirop.
Maintenant que vous savez comment manger la grenade, optez pour une livraison de fruits et légumes à domicile.

Ainsi, profitez du confort de la livraison à domicile pour recevoir vos grenades fraîches chez vous. Fini les déplacements au marché ou au supermarché, nous vous offrons la possibilité de commander en ligne et de vous faire livrer à votre porte. Notre service de livraison rapide et fiable assure que vous recevrez vos grenades dans les meilleures conditions, prêtes à être dégustées et appréciées.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Grenade94e3_nj12me.png
Groseille;2.5;Fruit rouge;Portugal;"Un fruit rouge mystérieux au goût subtile, la groseille à domicile.

La groseille est une baie de couleur rouge, lisse et brillante. On peut là classer en deux catégories : les groseilles à grappes et les groseilles à maquereau. Découverte en Asie dans des jardins botaniques, cette baie était répandue pour ses vertus médicinales.

Aujourd’hui, on comptabilise une cinquantaine de variétés de groseilles.

Vertus:

La groseille a donc de nombreux avantages, notamment celui de favoriser la satiété et ralentir les effets du vieillissement.
La vitamine C, les flavonoïdes et les composés phénoliques contenus dans la groseille sont d’excellents agents antioxydants permettant de diminuer les effets des radicaux libres sur l’organisme. Ces derniers sont les premiers responsables de la propagation des cancers, de l’accroissement des maladies coronariennes et du vieillissement cutané et tissulaire.
Les groseilles agissent aussi sur le ralentissement de la vidange gastrique et forment une barrière protectrice sur la flore intestinale contre les infections microbiennes
Conservation et dégustation:

Ainsi, si vous ne les consommez pas dans la journée après leur achat, vous pouvez les conserver 72 heures au réfrigérateur.
Pour les congeler, lavez les puis placez les dans un sac plastique en identifiant la date de congélation.
Ses baies agrémentent des entremets et permet de réaliser des tartes et des crumbles colorés. La groseille à domicile est la reine des gelées et des confitures, et donne de savoureux coulis, jus et ratafias. Ses baies agrémentent des entremets et permettent de réaliser tartes et crumbles";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Groseil94e3_c2jonx.png
kiwi;2.5;Fruit;Grece;"Livraison de kiwi pour bien commencer la semaine.

Le kiwi est un fruit dont raffole les sportifs permettant un bol de vitamine. Sa chair acidulée et sucrée fait de lui un fruit phare de nos assiettes.

Le kiwi vert est essentiellement importé de Nouvelle-Zélande de juillet à novembre. Il est introduit en France dans les années 1970 avec le kiwi de l’Adour produit de novembre à mai. Ce kiwi français dispose d’un label rouge et d’une IGP depuis 2009.  La France est un grand producteur européen de kiwi.

Bienfaits: 

Le kiwi est riche en vitamines C et K1, sélénium et en fibres. Il est aussi source de vitamine B9. Ce fruit est riche en nutriments et en antioxydants bons pour la santé. C’est un atout pour la récupération musculaire.

Dans le cadre d’une alimentation équilibrée, le kiwi est un allié de choix dans la prévention de maladies cardiovasculaires et des cancers.

Conservation et dégustation:

Livraison de kiwi se déguste à la petite cuillère, façon œuf à la coque au petit déjeuner ou en collation au goûter. Il se cuisine également dans des recettes sucrées ou salées. Nous vous conseillons de le marier avec le saumon fumé, c’est excellent.

Le kiwi vert comme le kiwi jaune continue de mûrir à température ambiante, vous pouvez donc le conserver au réfrigérateur deux à trois semaines.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Kiwi94e3_jfobpa.png
Mangue;1.00;Fruit;Afrique du sud;"Besoin d’une livraison de fruits exotiques? 

La mangue bateau est plus aléatoire que la mangue avion. Il lui manque la fermeté et cette pointe d’acidité qui fait la qualité de ce fruit.

La mangue bateau se cueille verte. Ensuite, elle s’achemine en bateau ou en camion. Comme souvent en matière alimentaire, la différence de prix justifie bien celle de qualité.

Vertus

La mangue est une bonne source de fibres et de vitamine C et B, elle aide à réduire la fatigue et renforce le système immunitaire.
Ce fruit exotique a un potentiel anticancer grâce à son contenu en antioxydants.
La mangue contient des fibres digestes, dont la pectine. « Ces substances permettent de réduire le taux de mauvais cholestérol, et il ne faut pas oublier la présence de potassium qui favorise le contrôle du rythme cardiaque et le maintien d’une pression artérielle normale.
Conservation et dégustation

Pour sa conservation, la mangue bateau préfère un endroit frais. La mangue se stocke 7 à 10 jours dans une corbeille à fruits.
La mangue bateau déteste les basses températures. Evitez le réfrigérateur.
Après l’avoir lavée, vous pouvez la consommer crue ou cuite pour plus d’originalité.
N’hésitez plus, assurez vous une livraison de fruits exotiques.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Mangue94e3_tstpe7.png
Menthe;0.4;Aromate;Belgique;"Besoin de menthe fraîche en livraison?

La menthe est une plante herbacée vivace de la famille des Lamiacées, la plus célèbre de nos plantes médicinales, et l’une des plus riches.

La menthe est une plante rafraîchissante, aussi banale qu’exceptionnelle consommée partout à travers le monde.

Le succès phénoménal de la menthe tient dans son goût :

Fort, puissant, rafraîchissant, inimitable.

Addictif même, tant nous y sommes tous accros d’une façon ou d’une autre. Ce goût qui active nos récepteurs au froid est principalement dû au menthol que contient la menthe.

La menthe est parfaite pour contrarier les bactéries, faire passer un mal d’estomac, calmer une crampe, éloigner le mal des transports, digérer un repas trop lourd, dissiper un malaise, atténuer une migraine, lutter contre le mauvais cholestérol ou simplement se détendre.

Sans parler de son puissant pouvoir antioxydant avec une valeur ORAC (Oxygen Radical Absorbance Capacity) trois fois supérieure à celle de la tomate par exemple.

Pour profiter de ses bienfaits, on peut soit en ajouter dans nos plats de manière préventive, soit dans les desserts pour une saveur dépaysante. On peut aussi boire des infusions de menthe fraîche après le repas (plonger 2 cuillères à café de feuilles de menthe fraîche dans 150 ml d’eau bouillante, laisser infuser 15 minutes, filtrer, et boire après chaque repas).

NTB Primeurs vous conseille la menthe fraîche en livraison, un remède naturel à la maison.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Menthe94e3_nlhhr8.png
Mirabelle;1.9;Fruit;France;"Les fruits de saison en livraison quel plaisir. Durant l’été, retrouvez notre jolie mirabelle française. Livraison mirabelle à domicile ou au bureau toute l’année. La mirabelle est un fruit très appréciée.

La mirabelle, variété de prunier est en réalité le fruit du mirabellier. NTB Primeurs choisit des mirabelles en Lorraine, où elle bénéficie d’une IGP et d’un Label rouge sous le nom de mirabelle de Lorraine.

Sa richesse en fibres  permet une bonne digestion. Par ailleurs, elle est aussi riche en sorbitol : un sucre connu pour accélérer le transit intestinal. Ce dernier est d’ailleurs extrait et utilisé dans des sirops anti-constipation. Vous pouvez aussi faire de très bonne confiture de saison, parfait pour se régaler dès le réveil.

En été, pourquoi pas une livraison de mirabelle avec une corbeille de fruits ?";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/mirabelle94e3_ax5mog.jpg
Mure;2.1;Fruit rouge;Portugal;"
Pourquoi la mûre est un fruit rouge? La mûre en livraison pour le découvrir. 

La mûre ou le mûron de son autre nom est une baie de couleur violette au goût sucré et très parfumé. En France, la culture de la mûre existe à très petite échelle, notamment dans le Limousin ou encore en Rhône-Alpes.

Bienfaits:

Riche en fibres et en eau, la mûre est un fruit idéal pour celles et ceux qui veulent améliorer leur digestion. Ses fibres vous aideront à mieux éliminer, et à améliorer le fonctionnement de votre estomac et de votre intestin. C’est donc un anti-inflammatoire naturel.

En plus d’être très riche en antioxydants et en vitamines, la mûre est aussi excellente pour la circulation sanguine.

La mûre en livraison est bénéfique pour votre santé cardiaque. Ce fruit permet de lutter contre les autres soucis circulatoires comme les varices. Enfin, grâce à sa forte concentration en fer, elle est recommandée contre l’anémie

Conservation et dégustation:

La mûre doit se consommer rapidement après son achat pour conserver l’intégralité de sa saveur. La mûre est un fruit rouge fortement périssable, dans le bac à légumes, il peut se conserver 72 heures.

Aujourd’hui, on la mange aussi bien crue que cuite. Le plus souvent, c’est le cas de la mûre sauvage. Utilisée entière, elle agrémente parfaitement des salades de fruits, des fromages blanc ou encore des gâteaux  comme les muffins aux mûres.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Muresbfd5_uhkuq1.jpg
Myrtille;1.9;Fruit rouge;Portugal;"Comment manger des myrtilles? Myrtille en livraison à domicile ou au bureau. 

La myrtille est une petite baie ferme et croquante de couleur bleu violacé. Cette baie était prisée en Amérique du Nord par les Amérindiens pour sa douceur et son côté sucré.

En France, la myrtille se commercialise uniquement sur des circuits courts afin de garantir sa fraîcheur. Elle est récoltée en Ardèche, en Lozère, dans les Vosges et les Alpes, mais aussi en Bretagne. Elle se récolte de juillet à septembre selon la variété.

Bienfaits:

La myrtille contient des vertus antioxydantes. Sa consommation réduit les facteurs de risque de maladies cardiovasculaires ainsi que certains cancers.

La myrtille est riche en vitamine C et K1. C’est un stimulant naturel du système immunitaire très utile pour lutter contre les infections.

Les nutritionnistes recommandent d’intégrer la myrtille dans son alimentation pour soigner les troubles digestifs. Cette baie est particulièrement efficace contre la diarrhée. Néanmoins, il agit contre la constipation en s’utilisant comme laxatif doux

Conservation et dégustation:

La myrtille en livraison se conserve jusqu’à une semaine dans le bac à légumes du réfrigérateur. Elle peut également se congeler dans des petits sacs de congélation.

NTB Primeurs vous recommande de consommer environ 75g de myrtille tous les jours.

Nature, la myrtille s’accommode parfaitement avec les laitages comme le fromage frais ou du yaourt.  Dans une salade de fruits vitaminé, cela ajoute de la couleur et du goût. Pourquoi ne pas tester une salade de fruits au fruits rouges? Ou alors, une soupe de fruits rouges.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583028/fruits/Myrtille-194e3_boryvi.png
Nectarine blanche;3.5;Fruit;Espagne;"Découvrez les délices sucrés de la nectarine, commander des nectarines en ligne livraison directe !

La nectarine est un fruit juteux et savoureux qui apporte une touche de douceur à nos papilles. Avec sa chair tendre et son goût délicieusement sucré, la nectarine est un incontournable des fruits estivaux.

La nectarine : un fruit estival appétissant. En effet, la nectarine, souvent confondue avec la pêche, se distingue par sa peau lisse et sans duvet, révélant ainsi sa chair juteuse et sucrée.

Ce fruit gorgé de soleil offre une expérience gustative exquise. On recommande sa consommation pour se rafraîchir pendant les chaudes journées estivales. Dégustez-la telle quelle, en salade de fruits ou en accompagnement de vos plats préférés.

Effectivement, en plus de son goût délicieux, la nectarine regorge de bienfaits pour la santé. Elle est une excellente source de vitamines A et C, qui renforcent le système immunitaire et favorisent une peau saine. La nectarine est donc également riche en fibres, favorisant une bonne digestion et contribuant à la satiété. Avec ses antioxydants, ce fruit délicieux est également réputé pour ses propriétés anti-inflammatoires.

Commandez des nectarines en ligne et faites-les livrer chez vous. Profitez de la commodité de l’achat en ligne et de la livraison directe pour savourer des nectarines fraîches chez vous. Grâce à notre service de livraison fiable, vous pouvez commander vos nectarines préférées en quelques clics, sans avoir à vous déplacer. Fini les soucis de trouver des fruits de qualité, notre équipe s’assure de vous fournir des nectarines fraîches, mûres et prêtes à être dégustées.

La fraîcheur à votre porte. En optant pour la livraison de nectarines, vous pouvez être certain de recevoir des fruits de qualité. Nous collaborons avec des producteurs locaux et des spécialistes des fruits pour vous garantir une expérience gustative inégalée. Que vous souhaitiez déguster les nectarines directement ou les utiliser dans des recettes, la livraison à domicile vous facilite la vie.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/La-nectarine94e3_hhdkkn.png
Oignon rouge;0.75;Legume;Hollande;"Quand utiliser un oignon rouge? Oignon rouge en livraison pour découvrir les bienfaits.

L’oignon rouge est donc un oignon de taille petite à moyenne, mesurent en moyenne 10 à 15 centimètres de diamètre. Il est de forme ronde à légèrement ovale. Il se cultive depuis l’Antiquité. En effet, les civilisations l’utilisaient pour se défendre de nombreuses maladies.

L’oignon s’enveloppe d’une fine peau rouge-violette, semblable à du papier, délicate et s’enlève facilement au toucher. Sa chair couleur violet foncé est ferme et croquante avec de nombreuses couches d’anneaux blancs et violets.

L’anthocyane contenu dans l’oignon rouge est responsable de sa couleur rouge. Les anthocyanes ou anthocyanes remplissent la fonction d’antioxydants et préservent la dégénérescence et le vieillissement des cellules.

Les oignons rouges sont donc croquants, piquants, sucrés et légèrement épicés crus. Lorsqu’ils sont cuits, leur saveur diminue et devient légèrement plus douce et sucrée. Il se prête à une large gamme de préparations culinaires savoureuses.  Une salade composée croquante.

Bienfaits:

L’oignon rouge est bon pour la santé. Et pour cause l’oignon rouge est riche en propriétés naturelles bonnes pour le corps.

Il aide notamment à réduire le taux de mauvais cholestérol. L’oignon rouge français contient de la vitamine C, du fer, de la vitamine E, du sélénium, de l’iode, du zinc et du magnésium. Il a des propriétés anti-grippales, anti-hémorragiques et tonifiantes pour les veines et les artères.

Il est aussi réputé pour son pouvoir diurétique et purifiant. Ainsi, ce légume favorise l’élimination de l’eau et diminue la rétention d’eau. Il aide également à réduire la toux et a un effet bénéfique sur l’asthme. C’est pourquoi manger de l’oignon rouge est un excellent atout pour avoir une santé de fer.

Conservation:

Conservez l’oignon rouge en livraison dans un endroit frais, sec et sombre. En effet, vous savez que l’humidité et la lumière conduisent à la moisissure et à la germination.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Oignon-rouge94e3_doo01m.png
Orange sanguine;1.1;Fruit;Espagne;"Quelle est la différence entre une orange et une orange sanguine? La livraison d’orange sanguine à domicile pour découvrir ce fruit.

L’orange sanguine est issue d’une greffe d’oranger sur grenadier dont le jus peut prendre une teinte rougâtre signalant la forte présence d’anthocyanines une catégorie d’antioxydant excellents pour la santé. L’orange sanguine regroupe principalement trois variétés. La Moro, la Tarocco et la Sanguinello. La coloration peut varier selon la variété. Néanmoins, l’état de maturité, ou les conditions de culture joue énormément.

Bienfaits:

L’orange sanguine renferme plus de 80% d’eau. Néanmoins, les 20% restant sont remplis de nutriments. L’orange sanguine est riche en vitamines. En effet, elle contient les vitamines B, B9, E, sans oublier sa forte concentration en vitamines C. C’est un agrume juteux et savoureux. Elle contient des minéraux et du calcium permettant d’améliorer le taux de bon cholestérol dans le corps.

Conservation et utilisation:

Nos oranges sanguines se conservent une dizaine de jours à température ambiante. On peut les conserver plus d’une semaine dans le bac à légumes du réfrigérateur pour que votre jus soit frais.

Les oranges sanguines se consomment principalement sous forme de jus. Parfait pour donner de l’originalité à vos brunchs. Son acidité parfume votre petit déjeuner. Nous vous conseillons d’utiliser l’orange sanguine dans vos recettes de pâtisseries ou dans une salade exotique en entrée.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/orange-sanguine94e3_kygn14.jpg
Origan;0.4;Aromate;Belgique;"Comment utiliser l’origan? Choisissez une livraison d’origan à domicile. 

L’origan est une plante herbacée vivace de la famille des Lamiacées dont le nom signifie « parure des montagnes ».

En Égypte et en Inde, on considérait l’origan comme une plante sacrée. Grecs et Romains lui attribuaient, eux, des vertus aphrodisiaques: c’était ainsi la plante du bonheur et de l’amour que l’on offrait aux jeunes mariés.

L’origan est une plante méditerranéenne qui pousse plus particulièrement en altitude. On la reconnait par ses tiges rougeâtres et fleurs violacées. Souvent confondu avec la marjolaine, ses feuilles sont légèrement plus pointues et d’un vert plus soutenu.

Concernant ses propriétés, l’origan a un pouvoir antalgique. Cette action antidouleur s’associe à  ses vertus antiseptiques et antispasmodiques. L’origan est aussi efficace en cataplasme pour assainir des blessures ou pour soulager des muscles contractés. En outre, il a une action stimulante sur les fonctions digestives et biliaires. Enfin, l’origan, tonique à souhait, est un véritable coup de fouet contre les maux de l’hiver. Expectorant et antitussif, il est l’allié des enrhumés et des personnes sujettes à des bronchiques chroniques. On constate même une action bénéfique sur l’asthme.

Utilisation:

Boire son infusion permet alors d’éviter les désagréments d’un repas trop copieux ou tout simplement d’une digestibilité fragile. En huile essentielle on l’utilise en aromathérapie pour ses vertus antibactériennes et antiparasitaires, notamment. Pour la peau en diffusion ou en friction (diluée à de l’huile végétale dans ce cas, car très irritantes pour la peau), elle procure un soulagement immédiat.

En cuisine, l’origan est une herbe aromatique indispensable pour la gastronomie italienne. Utilisez la livraison d’origan notamment pour parfumer des pizzas, des sauces tomate ou des grillades.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Origan94e3_puyipc.png
Oseille;0.6;Aromate;Belgique;"L’oseille est une plante potagère réputée pour son goût acidulé unique et son parfum prononcé. Côté cuisine, elle apporte une touche d’originalité aux plats, même les plus simples : veloutés, soupes, sauces, etc. Côté nutrition, l’oseille est remarquable notamment grâce à son pouvoir antioxydant et à sa teneur en vitamines et minéraux indispensables.

Caractéristiques de l’oseille
Pouvoir antioxydant ;
Fort pouvoir aromatique ;
Très peu calorique ;
Bonne source de potassium et de vitamine A ;
Teneur intéressante en fibres.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Oseille94e3_fjwtk0.png
Patae-douce;1.8;Legume;Egypte;"La patate douce est un tubercule originaire d'Amérique du sud très souvent assimilé à la pomme de terre. Mais ces deux aliments n'ont pas de lien de parenté. Pour s'épanouir, un climat chaud lui est indispensable. Elle appartient à la famille des féculents.

A quelle saison manger la patate douce ?
Il n'y a pas de mois particulier pour déguster la patate douce, il est possible d'en trouver toute l'année !

Les calories et les infos nutritionnelles de la patate douce
La patate douce est un aliment riche en amidon comme la pomme de terre. Elle contient des molécules appelées anthocyanines, contenu en forte quantité dans la peau du légume, qui jouent un rôle d'antioxydant et permettent ainsi de lutter contre les défaillances du vieillissement comme les cancers.

On lui dessert également des facultés à diminuer le diabète et les maladies cardiovasculaires. Ce tubercule renferme également de nombreux nutriments tels que du manganèse, du cuivre, les vitamines B6, B2 et C ou encore de la vitamine A qui, pour une patate douce consommée, représente 100 % des apports journaliers recommandés. La patate douce constitue alors un excellent moyen de diversifier son alimentation tout en donnant bonne mine grâce au béta carotène qu'elle contient";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Patate-douce94e3_y9casy.png
Peche jaune ;3.2;Fruit;Espagne;"C’est l’été place aux fruits doux et sucrés. La pêche est un fruit d’été incontestable comme le melon charentais. La pêche livraison gratuite avec NTB Primeurs. Nos pêches françaises se récoltent de juin à septembre. Les Pyrénées-Orientales, les Bouches-du-Rhône, la Drôme et le Gard représentent 80% de la production nationale. Néanmoins, on s’aperçoit que les importations de pêches dépassent la moitié de la production nationale. Elles proviennent, pour la quasi-totalité, d’Espagne qui débute sa campagne très tôt, en mai.

Ce fruit de saison est donc excellent pour la circulation sanguine et favoriser la digestion. Très peu calorique, il s’apprécie en pâtisserie pour son côté coloré et sucré ou en collation pour son côté diététique et pratique. C’est un excellent goûter pour les enfants.

Pour sa conservation, nous vous conseillons une corbeille à fruits à température ambiante. Vous pouvez aussi mettre vos pêches 5 jours au réfrigérateur. Testez livraison pêche gratuite sur Paris, Ile de France";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/La-peche-jaune94e3_dnmyzp.jpg
Pink;2.15;Fruit;France;"La Pink Lady en livraison, ou encore la pomme STAR des publicités.

La pomme Pink lady® est une pomme séduisante par son aspect symbole d’amour à croquer mais aussi pour son goût sucré. Cette pomme est une invention d’un chercheur australien John Cripps. Selon ses écrits, il pollinisa une pomme golden delicious avec une lady williams en 1973. Principalement cultivé en Occitanie, la pomme Pink lady® est cultivée par plus de 800 producteurs en France.

Vertus

En plus des qualités qu’elle partage avec les autres pommes, c’est l’en-cas parfait par excellence car sa teneur en fructose, supérieure à la moyenne des pommes, nous donne de l’énergie sans peser sur l’estomac
Elle est produite de manière responsable, respect de la biodiversité, consommation d’eau maîtrisée, économie d’énergie, utilisation d’emballages recyclables : préserver l’environnement est une priorité chez Pink Lady®
Conservation et dégustation

Son côté croquant est très apprécié ainsi le fait qu’elle ne s’oxyde pas rapidement une fois coupée.
Son goût sucrée s’adapte  dans les salades de fruits de saison ou composées.
Cuite, elle sera le parfait compagnon des viandes blanches grâce à son équilibre entre acidité et douceur. Elle a d’ailleurs l’avantage de bien se tenir à la cuisson, ce qui la rend parfaite aussi pour la tarte aux pommes
La pomme Pink lady se conserve au réfrigérateur plusieurs semaines ou dans une corbeille à fruits plusieurs jours.
Elle se consomme essentiellement entre novembre et mai.
La pomme PINK LADY en livraison peut séduire les enfants par sa couleur et son goût très sucré. Alors n’hésitez plus, intégrez la dans au goûter";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/lapinklady94e3_q2hi5h.jpg
